date,unit_sales,is_weekend
2012-01-01,105,1
2012-01-02,99,0
2012-01-03,107,0
2012-01-04,116,0
2012-01-05,99,0
2012-01-06,100,0
2012-01-07,118,1
2012-01-08,111,1
2012-01-09,99,0
2012-01-10,109,0
2012-01-11,100,0
2012-01-12,100,0
2012-01-13,108,0
2012-01-14,87,1
2012-01-15,89,1
2012-01-16,101,0
2012-01-17,97,0
2012-01-18,111,0
2012-01-19,99,0
2012-01-20,94,0
2012-01-21,123,1
2012-01-22,107,1
2012-01-23,110,0
2012-01-24,96,0
2012-01-25,105,0
2012-01-26,112,0
2012-01-27,100,0
2012-01-28,115,1
2012-01-29,106,1
2012-01-30,110,0
2012-01-31,107,0
2012-02-01,132,0
2012-02-02,114,0
2012-02-03,104,0
2012-02-04,123,1
2012-02-05,103,1
2012-02-06,117,0
2012-02-07,96,0
2012-02-08,103,0
2012-02-09,118,0
2012-02-10,124,0
2012-02-11,119,1
2012-02-12,116,1
2012-02-13,115,0
2012-02-14,104,0
2012-02-15,111,0
2012-02-16,114,0
2012-02-17,130,0
2012-02-18,123,1
2012-02-19,102,1
2012-02-20,124,0
2012-02-21,117,0
2012-02-22,114,0
2012-02-23,127,0
2012-02-24,132,0
2012-02-25,131,1
2012-02-26,114,1
2012-02-27,119,0
2012-02-28,126,0
2012-02-29,133,0
2012-03-01,119,0
2012-03-02,122,0
2012-03-03,113,1
2012-03-04,112,1
2012-03-05,133,0
2012-03-06,138,0
2012-03-07,124,0
2012-03-08,135,0
2012-03-09,129,0
2012-03-10,119,1
2012-03-11,130,1
2012-03-12,142,0
2012-03-13,126,0
2012-03-14,142,0
2012-03-15,101,0
2012-03-16,135,0
2012-03-17,128,1
2012-03-18,124,1
2012-03-19,129,0
2012-03-20,108,0
2012-03-21,126,0
2012-03-22,132,0
2012-03-23,143,0
2012-03-24,123,1
2012-03-25,121,1
2012-03-26,124,0
2012-03-27,138,0
2012-03-28,132,0
2012-03-29,124,0
2012-03-30,134,0
2012-03-31,130,1
2012-04-01,139,1
2012-04-02,123,0
2012-04-03,126,0
2012-04-04,126,0
2012-04-05,115,0
2012-04-06,133,0
2012-04-07,133,1
2012-04-08,130,1
2012-04-09,128,0
2012-04-10,116,0
2012-04-11,126,0
2012-04-12,127,0
2012-04-13,122,0
2012-04-14,129,1
2012-04-15,134,1
2012-04-16,149,0
2012-04-17,132,0
2012-04-18,133,0
2012-04-19,130,0
2012-04-20,111,0
2012-04-21,130,1
2012-04-22,131,1
2012-04-23,155,0
2012-04-24,128,0
2012-04-25,133,0
2012-04-26,130,0
2012-04-27,119,0
2012-04-28,142,1
2012-04-29,138,1
2012-04-30,138,0
2012-05-01,121,0
2012-05-02,144,0
2012-05-03,116,0
2012-05-04,136,0
2012-05-05,152,1
2012-05-06,120,1
2012-05-07,124,0
2012-05-08,130,0
2012-05-09,124,0
2012-05-10,114,0
2012-05-11,130,0
2012-05-12,118,1
2012-05-13,134,1
2012-05-14,120,0
2012-05-15,144,0
2012-05-16,121,0
2012-05-17,125,0
2012-05-18,136,0
2012-05-19,116,1
2012-05-20,130,1
2012-05-21,141,0
2012-05-22,112,0
2012-05-23,129,0
2012-05-24,130,0
2012-05-25,135,0
2012-05-26,115,1
2012-05-27,114,1
2012-05-28,132,0
2012-05-29,129,0
2012-05-30,129,0
2012-05-31,130,0
2012-06-01,119,0
2012-06-02,128,1
2012-06-03,128,1
2012-06-04,118,0
2012-06-05,144,0
2012-06-06,130,0
2012-06-07,113,0
2012-06-08,131,0
2012-06-09,115,1
2012-06-10,132,1
2012-06-11,135,0
2012-06-12,115,0
2012-06-13,133,0
2012-06-14,127,0
2012-06-15,131,0
2012-06-16,142,1
2012-06-17,120,1
2012-06-18,115,0
2012-06-19,113,0
2012-06-20,114,0
2012-06-21,121,0
2012-06-22,125,0
2012-06-23,124,1
2012-06-24,129,1
2012-06-25,121,0
2012-06-26,135,0
2012-06-27,118,0
2012-06-28,147,0
2012-06-29,126,0
2012-06-30,111,1
2012-07-01,109,1
2012-07-02,124,0
2012-07-03,117,0
2012-07-04,126,0
2012-07-05,123,0
2012-07-06,117,0
2012-07-07,109,1
2012-07-08,103,1
2012-07-09,113,0
2012-07-10,126,0
2012-07-11,119,0
2012-07-12,104,0
2012-07-13,118,0
2012-07-14,120,1
2012-07-15,107,1
2012-07-16,117,0
2012-07-17,116,0
2012-07-18,104,0
2012-07-19,119,0
2012-07-20,121,0
2012-07-21,126,1
2012-07-22,125,1
2012-07-23,101,0
2012-07-24,105,0
2012-07-25,119,0
2012-07-26,119,0
2012-07-27,119,0
2012-07-28,152,1
2012-07-29,119,1
2012-07-30,124,0
2012-07-31,122,0
2012-08-01,119,0
2012-08-02,109,0
2012-08-03,120,0
2012-08-04,104,1
2012-08-05,110,1
2012-08-06,107,0
2012-08-07,112,0
2012-08-08,135,0
2012-08-09,93,0
2012-08-10,118,0
2012-08-11,95,1
2012-08-12,106,1
2012-08-13,122,0
2012-08-14,111,0
2012-08-15,100,0
2012-08-16,103,0
2012-08-17,117,0
2012-08-18,103,1
2012-08-19,112,1
2012-08-20,110,0
2012-08-21,103,0
2012-08-22,131,0
2012-08-23,116,0
2012-08-24,89,0
2012-08-25,111,1
2012-08-26,103,1
2012-08-27,118,0
2012-08-28,101,0
2012-08-29,108,0
2012-08-30,114,0
2012-08-31,117,0
2012-09-01,97,1
2012-09-02,105,1
2012-09-03,104,0
2012-09-04,102,0
2012-09-05,126,0
2012-09-06,113,0
2012-09-07,96,0
2012-09-08,118,1
2012-09-09,130,1
2012-09-10,119,0
2012-09-11,93,0
2012-09-12,104,0
2012-09-13,121,0
2012-09-14,101,0
2012-09-15,113,1
2012-09-16,116,1
2012-09-17,99,0
2012-09-18,108,0
2012-09-19,76,0
2012-09-20,98,0
2012-09-21,106,0
2012-09-22,96,1
2012-09-23,125,1
2012-09-24,95,0
2012-09-25,105,0
